# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.0900,0.0700,0.8410,0.8410
-2.0700,0.0700,0.8497,0.8497
-2.0500,0.0500,0.8395,0.8395
-2.0300,0.0500,0.8440,0.8440
-2.0100,0.0300,0.8297,0.8297
-1.9900,0.0300,0.8352,0.8352
-1.9700,0.0100,0.8200,0.8200
-1.9500,0.0100,0.8200,0.8200
-1.9300,0.0100,0.8200,0.8200
-1.9100,0.0100,0.8161,0.8161
-1.8900,0.0100,0.8099,0.8099
-1.8700,0.0100,0.8032,0.8032
-1.8500,0.0100,0.7970,0.7970
-1.8300,0.0300,0.7800,0.7800
-1.8100,0.0300,0.7725,0.7725
-1.7900,0.0300,0.7655,0.7655
-1.7700,0.0300,0.7589,0.7589
-1.7500,0.0300,0.7529,0.7529
-1.7300,0.0300,0.7473,0.7473
-1.7100,0.0300,0.7422,0.7422
-1.6900,0.0300,0.7376,0.7376
-1.6700,0.0500,0.7139,0.7139
-1.6500,0.0500,0.7088,0.7088
-1.6300,0.0500,0.7023,0.7023
-1.6100,0.0500,0.6957,0.6957
-1.5900,0.0500,0.6896,0.6896
-1.5700,0.0500,0.6841,0.6841
-1.5500,0.0500,0.6791,0.6791
-1.5300,0.0500,0.6708,0.6708
-1.5100,0.0700,0.6512,0.6512
-1.4900,0.0700,0.6478,0.6478
-1.4700,0.0500,0.6462,0.6462
-1.4500,0.0500,0.6391,0.6391
-1.4300,0.0500,0.6325,0.6325
-1.4100,0.0700,0.6315,0.6315
-1.3900,0.0700,0.6280,0.6280
-1.3700,0.0700,0.6251,0.6251
-1.3500,0.0700,0.6229,0.6229
-1.3300,0.0700,0.6213,0.6213
-1.3100,0.0700,0.6203,0.6203
-1.2900,0.0700,0.6200,0.6200
-1.2700,0.0700,0.6200,0.6200
-1.2500,0.0700,0.6200,0.6200
-1.2300,0.0700,0.6200,0.6200
-1.2100,0.0700,0.6200,0.6200
-1.1900,0.0700,0.6200,0.6200
-1.1700,0.0700,0.6200,0.6200
-1.1500,0.0700,0.6200,0.6200
-1.1300,0.0700,0.6200,0.6200
-1.1100,0.0700,0.6200,0.6200
-1.0900,0.0700,0.6200,0.6200
-1.0700,0.0700,0.6200,0.6200
-1.0500,0.0700,0.6200,0.6200
-1.0300,0.0700,0.6200,0.6200
-1.0100,0.0700,0.6200,0.6200
-0.9900,0.0700,0.6200,0.6200
-0.9700,0.0700,0.6200,0.6200
-0.9500,0.0700,0.6200,0.6200
-0.9300,0.0700,0.6200,0.6200
-0.9100,0.0700,0.6200,0.6200
-0.8900,0.0700,0.6200,0.6200
-0.8700,0.0700,0.6203,0.6203
-0.8500,0.0700,0.6213,0.6213
-0.8300,0.0700,0.6229,0.6229
-0.8100,0.0700,0.6251,0.6251
-0.7900,0.0700,0.6280,0.6280
-0.7700,0.0700,0.6315,0.6315
-0.7500,0.0700,0.6356,0.6356
-0.7300,0.0700,0.6403,0.6403
-0.7100,0.0900,0.6512,0.6512
-0.6900,0.0900,0.6551,0.6551
-0.6700,0.0700,0.6579,0.6579
-0.6500,0.0700,0.6648,0.6648
-0.6300,0.0700,0.6723,0.6723
-0.6100,0.0900,0.6768,0.6768
-0.5900,0.0900,0.6835,0.6835
-0.5700,0.0700,0.6977,0.6977
-0.5500,0.0700,0.7068,0.7068
-0.5300,0.0700,0.7155,0.7155
-0.5100,0.0700,0.7247,0.7247
-0.4900,0.0700,0.7338,0.7338
-0.4700,0.0700,0.7400,0.7400
-0.4500,0.0700,0.7467,0.7467
-0.4300,0.0700,0.7529,0.7529
-0.4100,0.0700,0.7571,0.7571
-0.3900,0.0700,0.7616,0.7616
-0.3700,0.0700,0.7666,0.7666
-0.3500,0.0700,0.7694,0.7694
-0.3300,0.0700,0.7728,0.7728
-0.3100,0.0700,0.7767,0.7767
-0.2900,0.0700,0.7800,0.7800
-0.2700,0.0700,0.7800,0.7800
-0.2500,0.0700,0.7800,0.7800
-0.2300,0.0700,0.7800,0.7800
-0.2100,0.0700,0.7800,0.7800
-0.1900,0.0700,0.7800,0.7800
-0.1700,0.0500,0.7600,0.7600
-0.1500,0.0500,0.7600,0.7600
-0.1300,0.0500,0.7600,0.7600
-0.1100,0.0500,0.7600,0.7600
-0.0900,0.0500,0.7600,0.7600
-0.0700,0.0500,0.7600,0.7600
-0.0500,0.0500,0.7600,0.7600
-0.0300,0.0500,0.7600,0.7600
-0.0100,0.0500,0.7600,0.7600
0.0100,0.0500,0.7600,0.7600
0.0300,0.0500,0.7600,0.7600
0.0500,0.0500,0.7600,0.7600
0.0700,0.0500,0.7600,0.7600
0.0900,0.0500,0.7600,0.7600
0.1100,0.0500,0.7600,0.7600
0.1300,0.0500,0.7600,0.7600
0.1500,0.0500,0.7600,0.7600
0.1700,0.0500,0.7600,0.7600
0.1900,0.0500,0.7600,0.7600
0.2100,0.0500,0.7600,0.7600
0.2300,0.0500,0.7600,0.7600
0.2500,0.0500,0.7600,0.7600
0.2700,0.0500,0.7600,0.7600
0.2900,0.0500,0.7600,0.7600
0.3100,0.0500,0.7600,0.7600
0.3300,0.0500,0.7600,0.7600
0.3500,0.0300,0.7400,0.7400
0.3700,0.0300,0.7400,0.7400
0.3900,0.0300,0.7400,0.7400
0.4100,0.0300,0.7400,0.7400
0.4300,0.0300,0.7400,0.7400
0.4500,0.0300,0.7400,0.7400
0.4700,0.0300,0.7400,0.7400
0.4900,0.0300,0.7400,0.7400
0.5100,0.0300,0.7400,0.7400
0.5300,0.0300,0.7400,0.7400
0.5500,0.0300,0.7400,0.7400
0.5700,0.0300,0.7400,0.7400
0.5900,0.0300,0.7400,0.7400
0.6100,0.0300,0.7400,0.7400
0.6300,0.0300,0.7400,0.7400
0.6500,0.0300,0.7400,0.7400
0.6700,0.0300,0.7400,0.7400
0.6900,0.0300,0.7400,0.7400
0.7100,0.0300,0.7403,0.7403
0.7300,0.0300,0.7411,0.7411
0.7500,0.0300,0.7424,0.7424
0.7700,0.0300,0.7411,0.7411
0.7900,0.0300,0.7403,0.7403
0.8100,0.0300,0.7400,0.7400
0.8300,0.0300,0.7400,0.7400
0.8500,0.0300,0.7400,0.7400
0.8700,0.0300,0.7400,0.7400
0.8900,0.0300,0.7400,0.7400
0.9100,0.0300,0.7400,0.7400
0.9300,0.0300,0.7400,0.7400
0.9500,0.0300,0.7400,0.7400
0.9700,0.0300,0.7400,0.7400
0.9900,0.0100,0.7600,0.7600
1.0100,0.0100,0.7600,0.7600
1.0300,0.0100,0.7600,0.7600
1.0500,0.0100,0.7600,0.7600
1.0700,0.0100,0.7600,0.7600
1.0900,-0.0100,0.7767,0.7767
1.1100,-0.0100,0.7800,0.7800
1.1300,-0.0100,0.7767,0.7767
1.1500,-0.0100,0.7728,0.7728
1.1700,-0.0100,0.7694,0.7694
1.1900,-0.0100,0.7666,0.7666
1.2100,-0.0100,0.7642,0.7642
1.2300,-0.0100,0.7624,0.7624
1.2500,-0.0100,0.7611,0.7611
1.2700,-0.0300,0.7803,0.7803
1.2900,-0.0300,0.7800,0.7800
1.3100,-0.0300,0.7800,0.7800
1.3300,-0.0300,0.7800,0.7800
1.3500,-0.0500,0.8000,0.8000
1.3700,-0.0500,0.8000,0.8000
1.3900,-0.0500,0.8000,0.8000
1.4100,-0.0500,0.8000,0.8000
1.4300,-0.0700,0.8005,0.8005
1.4500,-0.0700,0.8052,0.8052
1.4700,-0.0700,0.8089,0.8089
1.4900,-0.0700,0.8052,0.8052
1.5100,-0.0900,0.7962,0.7962
1.5300,-0.0900,0.8005,0.8005
1.5500,-0.0900,0.8052,0.8052
1.5700,-0.0900,0.8089,0.8089
1.5900,-0.0900,0.8062,0.8062
1.6100,-0.1100,0.8005,0.8005
1.6300,-0.1100,0.8052,0.8052
1.6500,-0.1100,0.8104,0.8104
1.6700,-0.1100,0.8122,0.8122
1.6900,-0.1100,0.8089,0.8089
1.7100,-0.1300,0.8099,0.8099
1.7300,-0.1300,0.8158,0.8158
1.7500,-0.1300,0.8158,0.8158
1.7700,-0.1300,0.8122,0.8122
1.7900,-0.1500,0.8104,0.8104
1.8100,-0.1500,0.8158,0.8158
1.8300,-0.1500,0.8200,0.8200
1.8500,-0.1500,0.8158,0.8158
1.8700,-0.1500,0.8122,0.8122
1.8900,-0.1500,0.8089,0.8089
1.9100,-0.1700,0.8158,0.8158
1.9300,-0.1700,0.8200,0.8200
1.9500,-0.1700,0.8158,0.8158
1.9700,-0.1700,0.8122,0.8122
1.9900,-0.1700,0.8089,0.8089
2.0100,-0.1900,0.8089,0.8089
2.0300,-0.1900,0.8122,0.8122
2.0500,-0.1900,0.8158,0.8158
2.0700,-0.1900,0.8158,0.8158
2.0900,-0.1900,0.8122,0.8122
2.1100,-0.2100,0.8010,0.8010
2.1300,-0.2100,0.8022,0.8022
2.1500,-0.2100,0.8040,0.8040
2.1700,-0.2100,0.8062,0.8062
2.1900,-0.2100,0.8089,0.8089
2.2100,-0.2100,0.8122,0.8122
2.2300,-0.2100,0.8089,0.8089
2.2500,-0.2100,0.8062,0.8062
2.2700,-0.2300,0.8000,0.8000
2.2900,-0.2300,0.8000,0.8000
2.3100,-0.2300,0.8000,0.8000
2.3300,-0.2300,0.8002,0.8002
2.3500,-0.2300,0.8010,0.8010
2.3700,-0.2300,0.8022,0.8022
2.3900,-0.2300,0.8040,0.8040
2.4100,-0.2300,0.8062,0.8062
2.4300,-0.2300,0.8089,0.8089
2.4500,-0.2300,0.8122,0.8122
2.4700,-0.2300,0.8089,0.8089
2.4900,-0.2300,0.8062,0.8062
2.5100,-0.2300,0.8040,0.8040
2.5300,-0.2300,0.8022,0.8022
2.5500,-0.2300,0.8010,0.8010
2.5700,-0.2300,0.8002,0.8002
2.5900,-0.2300,0.8000,0.8000
2.6100,-0.2300,0.8000,0.8000
2.6300,-0.2300,0.8000,0.8000
2.6500,-0.2300,0.8000,0.8000
2.6700,-0.2300,0.8000,0.8000
2.6900,-0.2300,0.8000,0.8000
2.7100,-0.2100,0.7800,0.7800
2.7300,-0.2100,0.7800,0.7800
2.7500,-0.2100,0.7800,0.7800
2.7700,-0.2100,0.7800,0.7800
2.7900,-0.2100,0.7800,0.7800
2.8100,-0.2100,0.7800,0.7800
2.8300,-0.2100,0.7800,0.7800
2.8500,-0.2100,0.7800,0.7800
2.8700,-0.2100,0.7800,0.7800
2.8900,-0.2100,0.7800,0.7800
2.9100,-0.2100,0.7800,0.7800
2.9300,-0.2100,0.7800,0.7800
2.9500,-0.2100,0.7803,0.7803
2.9700,-0.2100,0.7810,0.7810
2.9900,-0.2100,0.7810,0.7810
3.0100,-0.2100,0.7767,0.7767
3.0300,-0.2100,0.7728,0.7728
3.0500,-0.2100,0.7694,0.7694
3.0700,-0.2100,0.7666,0.7666
3.0900,-0.2100,0.7642,0.7642
3.1100,-0.2100,0.7624,0.7624
3.1300,-0.2100,0.7611,0.7611
3.1500,-0.2100,0.7603,0.7603
3.1700,-0.2100,0.7600,0.7600
3.1900,-0.2100,0.7600,0.7600
3.2100,-0.2100,0.7600,0.7600
3.2300,-0.2100,0.7600,0.7600
3.2500,-0.2100,0.7600,0.7600
3.2700,-0.1900,0.7800,0.7800
3.2900,-0.1900,0.7800,0.7800
3.3100,-0.1900,0.7800,0.7800
3.3300,-0.1900,0.7800,0.7800
3.3500,-0.1900,0.7800,0.7800
3.3700,-0.1900,0.7800,0.7800
3.3900,-0.1900,0.7800,0.7800
3.4100,-0.1900,0.7800,0.7800
3.4300,-0.1900,0.7800,0.7800
3.4500,-0.1700,0.8000,0.8000
3.4700,-0.1700,0.8000,0.8000
3.4900,-0.1700,0.8000,0.8000
3.5100,-0.1700,0.8000,0.8000
3.5300,-0.1700,0.8000,0.8000
3.5500,-0.1500,0.8200,0.8200
3.5700,-0.1500,0.8200,0.8200
3.5900,-0.1500,0.8200,0.8200
3.6100,-0.1500,0.8200,0.8200
3.6300,-0.1300,0.8400,0.8400
3.6500,-0.1100,0.8400,0.8400
3.6700,-0.1100,0.8400,0.8400
3.6900,-0.1100,0.8400,0.8400
3.7100,-0.1100,0.8400,0.8400
3.7300,-0.1100,0.8400,0.8400
3.7500,-0.1100,0.8400,0.8400
3.7700,-0.1100,0.8400,0.8400
3.7900,-0.1100,0.8400,0.8400
3.8100,-0.1100,0.8400,0.8400
3.8300,-0.1100,0.8400,0.8400
3.8500,-0.1100,0.8400,0.8400
3.8700,-0.1100,0.8400,0.8400
3.8900,-0.1100,0.8352,0.8352
3.9100,-0.1100,0.8297,0.8297
3.9300,-0.1100,0.8246,0.8246
3.9500,-0.1100,0.8200,0.8200
3.9700,-0.1100,0.8158,0.8158
3.9900,-0.1100,0.8122,0.8122
4.0100,-0.1100,0.8089,0.8089
4.0300,-0.1100,0.8062,0.8062
4.0500,-0.1100,0.8040,0.8040
4.0700,-0.1100,0.8022,0.8022
4.0900,-0.1100,0.8010,0.8010
4.1100,-0.1100,0.8002,0.8002
4.1300,-0.1100,0.8000,0.8000
4.1500,-0.1100,0.8000,0.8000
4.1700,-0.1100,0.8000,0.8000
4.1900,-0.1300,0.7800,0.7800
4.2100,-0.1300,0.7800,0.7800
4.2300,-0.1300,0.7800,0.7800
4.2500,-0.1300,0.7800,0.7800
4.2700,-0.1100,0.8000,0.8000
4.2900,-0.1100,0.8000,0.8000
4.3100,-0.1100,0.8000,0.8000
4.3300,-0.1100,0.8000,0.8000
4.3500,-0.1100,0.8000,0.8000
4.3700,-0.1100,0.7962,0.7962
4.3900,-0.1100,0.7925,0.7925
4.4100,-0.1100,0.7892,0.7892
4.4300,-0.0900,0.7666,0.7666
4.4500,-0.0900,0.7642,0.7642
4.4700,-0.0900,0.7616,0.7616
4.4900,-0.0900,0.7571,0.7571
4.5100,-0.0900,0.7531,0.7531
4.5300,-0.0900,0.7497,0.7497
4.5500,-0.0900,0.7467,0.7467
4.5700,-0.0900,0.7422,0.7422
4.5900,-0.0900,0.7376,0.7376
4.6100,-0.0900,0.7335,0.7335
4.6300,-0.0900,0.7299,0.7299
4.6500,-0.0900,0.7269,0.7269
4.6700,-0.0900,0.7228,0.7228
4.6900,-0.0900,0.7181,0.7181
4.7100,-0.1100,0.6943,0.6943
4.7300,-0.1100,0.6905,0.6905
4.7500,-0.1100,0.6873,0.6873
4.7700,-0.1100,0.6847,0.6847
4.7900,-0.1100,0.6826,0.6826
4.8100,-0.1100,0.6812,0.6812
4.8300,-0.1100,0.6803,0.6803
4.8500,-0.1100,0.6800,0.6800
4.8700,-0.1100,0.6800,0.6800
4.8900,-0.1100,0.6800,0.6800
4.9100,-0.1100,0.6800,0.6800
4.9300,-0.1100,0.6800,0.6800
4.9500,-0.1100,0.6800,0.6800
4.9700,-0.1300,0.6600,0.6600
4.9900,-0.1300,0.6600,0.6600
5.0100,-0.1300,0.6600,0.6600
5.0300,-0.1300,0.6600,0.6600
5.0500,-0.1300,0.6600,0.6600
5.0700,-0.1300,0.6600,0.6600
5.0900,-0.1300,0.6600,0.6600
5.1100,-0.1300,0.6600,0.6600
5.1300,-0.1300,0.6600,0.6600
5.1500,-0.1300,0.6600,0.6600
5.1700,-0.1300,0.6600,0.6600
5.1900,-0.1300,0.6600,0.6600
5.2100,-0.1300,0.6600,0.6600
5.2300,-0.1300,0.6600,0.6600
5.2500,-0.1300,0.6600,0.6600
5.2700,-0.1300,0.6600,0.6600
5.2900,-0.1300,0.6600,0.6600
5.3100,-0.1300,0.6600,0.6600
5.3300,-0.1300,0.6600,0.6600
5.3500,-0.1300,0.6600,0.6600
5.3700,-0.1300,0.6600,0.6600
5.3900,-0.1300,0.6600,0.6600
5.4100,-0.1300,0.6600,0.6600
5.4300,-0.1300,0.6600,0.6600
5.4500,-0.1300,0.6600,0.6600
5.4700,-0.1300,0.6600,0.6600
5.4900,-0.1300,0.6600,0.6600
5.5100,-0.1300,0.6600,0.6600
5.5300,-0.1300,0.6600,0.6600
5.5500,-0.1300,0.6600,0.6600
5.5700,-0.1300,0.6600,0.6600
5.5900,-0.1300,0.6600,0.6600
5.6100,-0.1300,0.6600,0.6600
5.6300,-0.1300,0.6600,0.6600
5.6500,-0.1300,0.6600,0.6600
5.6700,-0.1300,0.6600,0.6600
5.6900,-0.1300,0.6600,0.6600
5.7100,-0.1300,0.6600,0.6600
5.7300,-0.1300,0.6600,0.6600
5.7500,-0.1300,0.6600,0.6600
5.7700,-0.1300,0.6600,0.6600
5.7900,-0.1300,0.6603,0.6603
5.8100,-0.1300,0.6612,0.6612
5.8300,-0.1300,0.6627,0.6627
5.8500,-0.1500,0.6835,0.6835
5.8700,-0.1500,0.6873,0.6873
5.8900,-0.1500,0.6905,0.6905
5.9100,-0.1500,0.6943,0.6943
5.9300,-0.1500,0.6986,0.6986
5.9500,-0.1500,0.7034,0.7034
5.9700,-0.1500,0.7088,0.7088
5.9900,-0.1700,0.7272,0.7272
6.0100,-0.1700,0.7376,0.7376
6.0300,-0.1700,0.7422,0.7422
6.0500,-0.1700,0.7473,0.7473
6.0700,-0.1700,0.7529,0.7529
6.0900,-0.1700,0.7589,0.7589
6.1100,-0.1700,0.7655,0.7655
6.1300,-0.1500,0.7539,0.7539
6.1500,-0.1500,0.7616,0.7616
6.1700,-0.1300,0.7515,0.7515
6.1900,-0.1300,0.7507,0.7507
6.2100,-0.1100,0.7515,0.7515
6.2300,-0.0900,0.7424,0.7424
6.2500,-0.0900,0.7440,0.7440
6.2700,-0.0700,0.7403,0.7403
6.2900,-0.0500,0.7376,0.7376
6.3100,-0.0300,0.7324,0.7324
6.3300,-0.0100,0.7280,0.7280
6.3500,-0.0100,0.7214,0.7214
6.3700,0.0100,0.7214,0.7214
6.3900,0.0300,0.7214,0.7214
6.4100,0.0500,0.7225,0.7225
6.4300,0.0700,0.7214,0.7214
6.4500,0.0900,0.7155,0.7155
6.4500,0.1100,0.7077,0.7077
6.4700,0.1300,0.7071,0.7071
6.4900,0.1500,0.7071,0.7071
6.5100,0.1700,0.7046,0.7046
6.5300,0.1900,0.7000,0.7000
6.5300,0.2100,0.6931,0.6931
6.5500,0.2300,0.6931,0.6931
6.5700,0.2500,0.6931,0.6931
6.5900,0.2700,0.6931,0.6931
6.6100,0.2900,0.6943,0.6943
6.6300,0.3100,0.6896,0.6896
6.6300,0.3300,0.6841,0.6841
6.6500,0.3500,0.6882,0.6882
6.6700,0.3700,0.6882,0.6882
6.6700,0.3900,0.6826,0.6826
6.6900,0.4100,0.6896,0.6896
6.7100,0.4300,0.6888,0.6888
6.7100,0.4500,0.6888,0.6888
6.7300,0.4700,0.6888,0.6888
6.7300,0.4900,0.6888,0.6888
6.7500,0.5100,0.6888,0.6888
6.7500,0.5300,0.6888,0.6888
6.7700,0.5500,0.6896,0.6896
6.7700,0.5700,0.6908,0.6908
6.7700,0.5900,0.6835,0.6835
6.7900,0.6100,0.6896,0.6896
6.7900,0.6300,0.6896,0.6896
6.7900,0.6500,0.6841,0.6841
6.7900,0.6700,0.6791,0.6791
6.8100,0.6900,0.6943,0.6943
6.8100,0.7100,0.6905,0.6905
6.8100,0.7300,0.6873,0.6873
6.8300,0.7500,0.7023,0.7023
6.8300,0.7700,0.6957,0.6957
6.8300,0.7900,0.6896,0.6896
6.8500,0.8100,0.7034,0.7034
6.8500,0.8300,0.6986,0.6986
6.8500,0.8500,0.6943,0.6943
6.8500,0.8700,0.6905,0.6905
6.8500,0.8900,0.6873,0.6873
6.8500,0.9100,0.6847,0.6847
6.8700,0.9300,0.7026,0.7026
6.8700,0.9500,0.7011,0.7011
6.8700,0.9700,0.7003,0.7003
6.8900,0.9900,0.7200,0.7200
6.8900,1.0100,0.7181,0.7181
6.8900,1.0300,0.7139,0.7139
6.8900,1.0500,0.7102,0.7102
6.8900,1.0700,0.7071,0.7071
6.8900,1.0900,0.7046,0.7046
6.8900,1.1100,0.7026,0.7026
6.9100,1.1300,0.7203,0.7203
6.9100,1.1500,0.7203,0.7203
6.9100,1.1700,0.7200,0.7200
6.9100,1.1900,0.7200,0.7200
6.9100,1.2100,0.7200,0.7200
6.9100,1.2300,0.7200,0.7200
6.9100,1.2500,0.7200,0.7200
6.9100,1.2700,0.7200,0.7200
6.9100,1.2900,0.7200,0.7200
6.9100,1.3100,0.7200,0.7200
6.9100,1.3300,0.7200,0.7200
6.9100,1.3500,0.7200,0.7200
6.9100,1.3700,0.7200,0.7200
6.9100,1.3900,0.7200,0.7200
6.9100,1.4100,0.7200,0.7200
6.9100,1.4300,0.7203,0.7203
6.9100,1.4500,0.7211,0.7211
6.9100,1.4700,0.7225,0.7225
6.9300,1.4900,0.7443,0.7443
6.9300,1.5100,0.7467,0.7467
6.9300,1.5300,0.7497,0.7497
6.9300,1.5500,0.7531,0.7531
6.9300,1.5700,0.7571,0.7571
6.9300,1.5900,0.7616,0.7616
6.9300,1.6100,0.7642,0.7642
6.9300,1.6300,0.7666,0.7666
6.9100,1.6500,0.7497,0.7497
6.9100,1.6700,0.7531,0.7531
6.9100,1.6900,0.7571,0.7571
6.9100,1.7100,0.7616,0.7616
6.8900,1.7300,0.7473,0.7473
6.8900,1.7500,0.7529,0.7529
6.8900,1.7700,0.7571,0.7571
6.8900,1.7900,0.7616,0.7616
6.8900,1.8100,0.7666,0.7666
6.8700,1.8300,0.7529,0.7529
6.8700,1.8500,0.7571,0.7571
6.8700,1.8700,0.7616,0.7616
6.8700,1.8900,0.7666,0.7666
6.8500,1.9100,0.7529,0.7529
6.8500,1.9300,0.7589,0.7589
